"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login functionality with invalid credentials.","7433","Invalid Login Test","","Thu Sep 19 02:18:07 AMT 2024","passed","Thu Sep 19 02:18:15 AMT 2024","","Login Tests","",""
"Test changing password successfully with correct inputs.","6842","Successful Password Change Test","","Thu Sep 19 02:18:33 AMT 2024","passed","Thu Sep 19 02:18:40 AMT 2024","","Password Change Tests","",""
"Test successful login with valid credentials.","5760","Successful Login Test","","Thu Sep 19 02:18:15 AMT 2024","passed","Thu Sep 19 02:18:20 AMT 2024","","Login Tests","",""
"Test changing password with mismatched new passwords.","5380","Password Mismatch Test","","Thu Sep 19 02:18:28 AMT 2024","passed","Thu Sep 19 02:18:33 AMT 2024","","Password Change Tests","",""
"Test changing password with an incorrect current password.","7293","Incorrect Current Password Test","","Thu Sep 19 02:18:20 AMT 2024","passed","Thu Sep 19 02:18:28 AMT 2024","","Password Change Tests","",""
